Orbit Number	Folder Path	orb File	orb min Index	orb Max Index	eeb	eeb File	eeb min Index	eeb Max Index	ees	ees File	ees min Index	ees Max Index	ieb	ieb File	ieb min Index	ieb Max Index	ies	ies File	ies min Index	ies Max Index
13477	./FAST_data/2000/01	fa_k0_orb_13477_v01.cdf	84	84	True	fa_esa_l2_eeb_20000116032353_13477_v02.cdf			True	fa_esa_l2_ees_20000116032354_13477_v02.cdf			True	fa_esa_l2_ieb_20000116032353_13477_v02.cdf			True	fa_esa_l2_ies_20000116032354_13477_v02.cdf		
13519	./FAST_data/2000/01	fa_k0_orb_13519_v01.cdf	75	78	True	fa_esa_l2_eeb_20000119234551_13519_v02.cdf			True	fa_esa_l2_ees_20000119234552_13519_v02.cdf	423	464	True	fa_esa_l2_ieb_20000119234551_13519_v02.cdf			True	fa_esa_l2_ies_20000119234552_13519_v02.cdf	421	461
13520	./FAST_data/2000/01	fa_k0_orb_13520_v01.cdf	75	81	True	fa_esa_l2_eeb_20000120015909_13520_v02.cdf			True	fa_esa_l2_ees_20000120015910_13520_v02.cdf	309	461	True	fa_esa_l2_ieb_20000120015909_13520_v02.cdf			True	fa_esa_l2_ies_20000120015910_13520_v02.cdf	309	461
13521	./FAST_data/2000/01	fa_k0_orb_13521_v01.cdf	75	79	True	fa_esa_l2_eeb_20000120041211_13521_v02.cdf	114	380	True	fa_esa_l2_ees_20000120041215_13521_v02.cdf	106	136	True	fa_esa_l2_ieb_20000120041211_13521_v02.cdf	114	380	True	fa_esa_l2_ies_20000120041215_13521_v02.cdf	106	136
13530	./FAST_data/2000/01	fa_k0_orb_13530_v01.cdf	73	78	True	fa_esa_l2_eeb_20000120235756_13530_v02.cdf			True	fa_esa_l2_ees_20000120235757_13530_v02.cdf	223	321	True	fa_esa_l2_ieb_20000120235756_13530_v02.cdf			True	fa_esa_l2_ies_20000120235757_13530_v02.cdf	223	321
13531	./FAST_data/2000/01	fa_k0_orb_13531_v01.cdf	73	81	True	fa_esa_l2_eeb_20000121021115_13531_v02.cdf	199	374	True	fa_esa_l2_ees_20000121021116_13531_v02.cdf	116	303	True	fa_esa_l2_ieb_20000121021115_13531_v02.cdf	199	375	True	fa_esa_l2_ies_20000121021116_13531_v02.cdf	116	303
13532	./FAST_data/2000/01	fa_k0_orb_13532_v01.cdf	73	78	True	fa_esa_l2_eeb_20000121042413_13532_v02.cdf			True	fa_esa_l2_ees_20000121042414_13532_v02.cdf	93	131	True	fa_esa_l2_ieb_20000121042413_13532_v02.cdf			True	fa_esa_l2_ies_20000121042414_13532_v02.cdf	93	131
13540	./FAST_data/2000/01	fa_k0_orb_13540_v01.cdf	71	72	True	fa_esa_l2_eeb_20000121215648_13540_v02.cdf			True	fa_esa_l2_ees_20000121215649_13540_v02.cdf	271	299	True	fa_esa_l2_ieb_20000121215648_13540_v02.cdf			True	fa_esa_l2_ies_20000121215649_13540_v02.cdf	270	298
13541	./FAST_data/2000/01	fa_k0_orb_13541_v01.cdf	71	77	True	fa_esa_l2_eeb_20000122001002_13541_v02.cdf			True	fa_esa_l2_ees_20000122001003_13541_v02.cdf	161	294	True	fa_esa_l2_ieb_20000122001002_13541_v02.cdf			True	fa_esa_l2_ies_20000122001003_13541_v02.cdf	161	294
13542	./FAST_data/2000/01	fa_k0_orb_13542_v01.cdf	71	80	True	fa_esa_l2_eeb_20000122022316_13542_v02.cdf	114	373	True	fa_esa_l2_ees_20000122022317_13542_v02.cdf	102	293	True	fa_esa_l2_ieb_20000122022316_13542_v02.cdf	114	373	True	fa_esa_l2_ies_20000122022317_13542_v02.cdf	102	293
